Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59287E+12,Europe/London,22. 06. 2020 23:53,23. 06. 2020 8:01,23. 06. 2020 8:15,8.14,0,,10007,-1,-1,6,0.31632653,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59278E+12,Europe/London,22. 06. 2020 0:10,22. 06. 2020 8:11,22. 06. 2020 8:15,8.01,0,,10007,-1,-1,6,0.25773194,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59269E+12,Europe/London,20. 06. 2020 23:32,21. 06. 2020 8:11,21. 06. 2020 8:15,8.65,0, #newmoon,10007,-1,-1,6,0.20192307,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59261E+12,Europe/London,19. 06. 2020 23:32,20. 06. 2020 7:54,20. 06. 2020 8:15,8.36,0,,10007,-1,-1,7,0.3069307,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59252E+12,Europe/London,19. 06. 2020 0:09,19. 06. 2020 7:47,19. 06. 2020 8:15,7.64,0,,10007,-1,-1,7,0.3478261,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59244E+12,Europe/London,18. 06. 2020 0:05,18. 06. 2020 7:48,18. 06. 2020 8:15,7.71,0,,10007,-1,-1,5,0.34408602,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59235E+12,Europe/London,17. 06. 2020 0:10,17. 06. 2020 8:08,17. 06. 2020 8:15,7.97,0,,10007,-1,-1,6,0.36458334,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59226E+12,Europe/London,16. 06. 2020 0:24,16. 06. 2020 7:48,16. 06. 2020 8:15,7.41,0,,10007,-1,-1,6,0.37078652,-3
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59218E+12,Europe/London,15. 06. 2020 0:05,15. 06. 2020 7:48,15. 06. 2020 8:15,7.72,0,,10007,-1,-1,8,0.38709676,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59209E+12,Europe/London,13. 06. 2020 23:59,14. 06. 2020 8:03,14. 06. 2020 8:15,8.07,0,,10007,-1,-1,5,0.2783505,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.592E+12,Europe/London,13. 06. 2020 0:09,13. 06. 2020 7:57,13. 06. 2020 8:15,7.8,0,  #geo1,10007,-1,-1,6,0.31914893,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59192E+12,Europe/London,12. 06. 2020 0:12,12. 06. 2020 8:06,12. 06. 2020 8:15,7.9,0,,10007,-1,-1,5,0.34736842,-2
