unix_time,day,start,length,cycles,deep
1592866400,1,22.83,8.10,6,0.32
1592781040,7,23.17,8.00,6,0.26
1592692369,6,22.50,8.70,6,0.20
1592605940,5,22.50,8.40,7,0.31
1592521791,4,23.00,7.60,7,0.35
1592435155,3,23.00,7.70,5,0.34
1592349039,2,23.17,8.00,6,0.36
1592263477,1,23.33,7.40,6,0.37
1592175915,7,23.00,7.70,8,0.39
1592089143,6,22.83,8.10,5,0.28
1592003395,5,23.00,7.80,6,0.32
1591917171,4,23.17,7.90,5,0.35
1591829935,3,22.83,8.20,6,0.33
1591743806,2,23.00,8.40,6,0.26
1591652634,1,21.67,9.20,8,0.35
1591571313,7,23.00,7.60,4,0.25
1591485445,6,23.17,7.50,6,0.33
1591399348,5,23.33,7.60,5,0.31
1591311962,4,23.00,7.70,5,0.24
1591140025,2,23.33,7.60,3,0.20
1591053439,1,23.17,7.60,4,0.24
1590967248,7,23.33,7.90,6,0.35
1590882226,6,23.67,7.30,5,0.36
1590793688,5,23.00,7.50,4,0.25
1590706964,4,23.00,8.00,4,0.23
1590621357,3,23.17,7.30,5,0.31
1590534607,2,23.17,8.00,4,0.26
1590447171,1,22.83,8.00,5,0.28
1590360376,7,22.67,8.20,6,0.33
1590276889,6,23.50,7.40,7,0.29
1590189392,5,23.17,7.30,2,0.16
1590104763,4,23.67,6.90,3,0.19
1590018327,3,23.67,6.90,5,0.23
1589931066,2,23.50,7.90,8,0.40
1589844297,1,23.33,7.20,6,0.34
1589757468,7,23.17,7.90,7,0.34
1589672419,6,23.67,7.10,4,0.24
1589584125,5,23.00,7.80,6,0.45
1589413751,3,23.67,7.50,6,0.35
1589324453,2,23.00,8.40,2,0.24
1589240398,1,23.50,7.60,10,0.46
1589152644,7,23.17,7.80,7,0.32
1589067391,6,23.50,7.30,8,0.36
1588894329,4,23.50,7.80,5,0.26
1588807919,3,23.50,7.60,9,0.66
1588635020,1,23.50,7.70,6,0.32
1588548558,7,23.33,7.40,7,0.36
1588461536,6,23.17,7.60,5,0.30
1588372434,5,22.50,8.80,5,0.20
1588289592,4,23.50,7.50,8,0.41
1588200062,3,22.67,8.30,7,0.38
1588115993,2,23.17,7.80,8,0.39
1588029480,1,23.17,7.70,6,0.27
1587939430,7,22.17,9.00,7,0.35
1587855920,6,23.00,8.10,5,0.29
1587680626,4,22.33,8.50,7,0.31
1587597358,3,23.17,7.70,6,0.32
1587426180,1,23.67,7.30,5,0.38
1587336330,7,22.67,8.30,6,0.24
1587252177,6,23.33,7.90,5,0.27
1587165483,5,23.17,7.80,6,0.27
1587079211,4,23.33,7.80,6,0.32
1586990101,3,22.50,8.70,8,0.29
1586905882,2,23.17,7.80,8,0.32
1586817422,1,22.50,8.20,5,0.28
1586647166,6,23.17,7.80,6,0.35
1586559920,5,23.00,7.70,5,0.26
1586472733,4,22.83,8.20,6,0.22
1586295481,2,21.50,9.30,9,0.41
1586127121,7,22.83,8.30,8,0.38
1585610230,1,23.17,7.70,8,0.48
1585523976,7,23.17,7.70,6,0.33
1585440062,7,24.00,7.10,13,0.46
1585354031,6,24.00,8.00,4,0.21
1585267427,5,24.00,7.90,6,0.26
1585180703,3,23.83,8.00,7,0.39
1585096694,3,24.50,7.00,4,0.25
1584923633,1,24.50,6.00,12,0.46
1584837506,7,24.50,5.90,6,0.34
1584750890,6,24.50,7.10,7,0.34
1584664542,5,24.50,7.00,8,0.42
1584578737,4,24.67,7.90,12,0.46
1584491586,3,24.50,8.10,9,0.39
1584405474,2,24.50,7.60,8,0.54
1584319669,1,24.67,7.70,7,0.41
1584225420,6,22.50,7.00,5,0.59
1584165419,6,29.83,6.30,6,0.43
1584065281,5,26.00,7.00,6,0.26
1583974370,4,24.83,7.80,13,0.52
1583891304,3,25.67,7.00,7,0.27
1583795959,1,23.17,7.50,10,0.44
1583716674,1,25.17,7.60,12,0.42
1583632456,7,25.83,6.60,9,0.46
1583545547,6,25.67,7.20,12,0.40
1583457472,5,25.17,8.10,9,0.37
1583371904,4,25.50,7.00,10,0.42
1583286187,3,25.67,6.20,8,0.43
1583194488,2,24.17,6.70,3,0.25
1583111072,1,25.00,7.20,5,0.24
1582938668,6,25.17,7.50,4,0.24
1582852740,5,25.17,7.00,6,0.30
1582765361,4,25.00,6.20,7,0.41
1582676244,3,24.17,7.40,8,0.38
1582591930,2,24.83,7.20,8,0.32
1582506908,1,25.17,7.50,13,0.62
1582420106,7,25.00,6.50,9,0.40
1582333417,6,25.00,6.90,7,0.35
1582246312,5,24.83,6.90,6,0.35
1582159284,4,24.67,6.60,3,0.68
1582075999,3,25.50,6.10,5,0.30
1581982697,1,23.50,7.70,8,0.44
1581812189,7,24.17,7.00,4,0.21
1581731652,6,25.83,6.10,4,0.30
1581643980,5,25.50,6.50,4,0.28
1581553421,4,24.33,6.50,4,0.34
1581468854,3,24.83,7.10,2,0.20
1581380802,2,24.33,6.50,2,0.23
1581294416,1,24.33,7.20,4,0.24
1581213134,7,25.83,6.20,4,0.29
1581128710,6,26.33,7.10,7,0.35
1581038127,5,25.17,6.30,4,0.21
1580947266,4,24.00,7.30,4,0.21
1580772928,1,23.50,7.40,3,0.24
1580688061,1,24.00,7.20,3,0.18
1580605390,7,25.00,6.90,4,0.28
1580517350,6,24.50,7.40,4,0.30
1580428581,4,23.83,7.00,6,0.33
1580344696,4,24.50,6.90,6,0.25
1580256330,3,24.00,7.60,5,0.26
1580169885,2,24.00,7.00,4,0.19
1580082761,7,23.83,7.40,5,0.21
1579827277,5,24.83,7.70,6,0.24
1579651997,3,24.17,7.60,3,0.20
1579568537,2,25.00,6.50,5,0.23
1579480745,1,24.50,7.10,2,0.14
1579308993,6,24.83,6.90,3,0.11
1579221591,5,24.50,7.40,3,0.14
1579132444,3,23.83,7.50,4,0.27
1579049261,3,24.67,7.10,5,0.87
1578960476,2,24.00,7.70,3,0.13
1578874421,1,24.17,7.40,3,0.22
1578701270,6,24.00,8.40,6,0.30
1578616554,5,24.50,8.00,5,0.38
1578529244,4,24.33,8.00,5,0.32
1578444066,3,24.67,7.90,4,0.24
1578355036,1,23.83,8.60,7,0.32
1578271361,1,24.67,7.60,5,0.29
1578186074,7,25.00,7.50,4,0.25
1578011843,5,24.50,7.90,6,0.36
1577923572,4,24.00,8.40,4,0.20
1577839951,3,24.83,8.10,3,0.21
1577752735,2,24.50,8.10,5,0.28
1577666471,1,24.67,7.80,6,0.33
1577578567,7,24.17,8.50,6,0.23
1577493544,6,24.50,8.00,5,0.42
1577406627,5,24.50,8.10,7,0.35
1577320119,4,24.33,8.10,6,0.31
1577234894,3,24.67,8.00,2,0.17
